,street,latitude,longitude,venue,venue latitude,venue longitude,venue category
0,"Harley Street, London, the UK",-0.1477,51.520599,Royal Institute of British Architects,51.5211083978643,-0.14501449698020452,Art Gallery
1,"Harley Street, London, the UK",-0.1477,51.520599,The Cavendish,51.519018304844934,-0.1496368169438876,Gastropub
2,"Harley Street, London, the UK",-0.1477,51.520599,Daunt Books,51.520432758878734,-0.15182379469622112,Bookstore
3,"Harley Street, London, the UK",-0.1477,51.520599,Pierre Marcolini Chocolatier,51.52065257329547,-0.151909078398161,Dessert Shop
4,"Harley Street, London, the UK",-0.1477,51.520599,La Fromagerie,51.519858028521625,-0.1522383678601626,Cheese Shop
5,"Harley Street, London, the UK",-0.1477,51.520599,Jardin Du Jasmin,51.521534,-0.143434,Café
6,"Harley Street, London, the UK",-0.1477,51.520599,The Marylebone Hotel,51.518016351538066,-0.14974094051132797,Hotel
7,"Harley Street, London, the UK",-0.1477,51.520599,The Conran Shop,51.52225371472936,-0.15117629992926548,Furniture / Home Store
8,"Harley Street, London, the UK",-0.1477,51.520599,Margaret Dabbs,51.518738882899335,-0.15100415202399434,Nail Salon
9,"Harley Street, London, the UK",-0.1477,51.520599,OPSO,51.520784,-0.152891,Greek Restaurant
10,"Harley Street, London, the UK",-0.1477,51.520599,The Marylebone,51.51987146181745,-0.15192754039648967,Cocktail Bar
11,"Harley Street, London, the UK",-0.1477,51.520599,Kusmi Tea,51.5191573159144,-0.15164519201883458,Gourmet Shop
12,"Harley Street, London, the UK",-0.1477,51.520599,BBC Radio Theatre,51.51853425979514,-0.14413320279133005,Radio Station
13,"Harley Street, London, the UK",-0.1477,51.520599,Sushi Atelier,51.51939013762405,-0.1424600291908215,Sushi Restaurant
14,"Harley Street, London, the UK",-0.1477,51.520599,The Langham,51.517801045370746,-0.1439927644804584,Hotel
15,"Harley Street, London, the UK",-0.1477,51.520599,Marylebone Farmers' Market,51.51917561345759,-0.1527636510638178,Farmers Market
16,"Harley Street, London, the UK",-0.1477,51.520599,Waitrose & Partners,51.51944580102297,-0.15189612270182806,Supermarket
17,"Harley Street, London, the UK",-0.1477,51.520599,Le Relais de Venise L’Entrecôte,51.51810447945907,-0.15106168619426952,French Restaurant
18,"Harley Street, London, the UK",-0.1477,51.520599,Wigmore Hall,51.51678587361812,-0.14830009710061817,Concert Hall
19,"Harley Street, London, the UK",-0.1477,51.520599,Portland Restaurant,51.51982141808416,-0.14261222723306768,Restaurant
20,"Harley Street, London, the UK",-0.1477,51.520599,Clipstone Restaurant,51.520922557202105,-0.14227162548710082,Modern European Restaurant
21,"Harley Street, London, the UK",-0.1477,51.520599,Orrery,51.522313599359805,-0.1513066896036187,French Restaurant
